"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","gsubname3","motive","guncertain1","guncertain2","guncertain3","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related","perp.cat"
"221",199810230001,1998,10,23,"",0,"",217,"United States",1,"North America","New York (U.S. State)","Amherst",42.978371,-78.799942,1,0,"","10/23/1998: Dr. Barnett Slepian was shot in Amherst, New York, U.S.A. Slepian had been the target of anti-abortion protesters since the 1980's.  James Charles Kopp was ultimately found guilty of the killing.",1,1,1,1,2,"Other Crime Type",0,1,0,2,"Armed Assault",NA,"",NA,"",5,"Abortion Related",41,"Personnel","Civilian","Dr. Barnett Slepian",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Army of God","","","","","","Unknown",0,NA,NA,1,1,0,NA,"",NA,NA,"",NA,NA,"",NA,5,"Firearms",4,"Rifle/Shotgun (non-automatic)",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","",1,1,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,"","Russ Mitchell, “Abortion Doctor Shot Near Buffalo, New York, is part of an International Investigation as US and Canadian Authorities World Together to Find Culprit,” CBS News, October 24, 1998.","David Goodman, “AP Top News at 9 a.m.,” The Associated Press, October 24, 1998.","Carolyn Thompson, “Sniper Kills N.Y. Abortion Provider,” The Associated Press, October 24, 1998.","CETIS",0,0,0,0,"","anti-abortion"
"222",199810270003,1998,10,27,"",0,"",217,"United States",1,"North America","New Hampshire (U.S. State)","Concord",43.20725,-71.536604,1,0,"","10/27/1998: A pipe bomb was found on the steps outside the Concord Public Library in Concord, New Hampshire, U.S.A.. Authorities discovered the device after Governor Jeanne Shaheen's office received a threatening letter. The device did not explode.",1,1,1,0,NA,"",1,0,0,3,"Bombing/Explosion",NA,"",NA,"",2,"Government (General)",21,"Government Building/Facility/Office","Concord Public Library","The Concord Public Library in Concord, New Hampshire",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Unknown","","","","","","Unknown",0,NA,NA,NA,0,1,1,"Letter",NA,NA,"",NA,NA,"",-9,6,"Explosives/Bombs/Dynamite",17,"Other Explosive Type",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","A pipe bomb was used in the attack.",0,0,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,"","J.M. Hirsch, “Experts say Bombings Probably not Professional,” The Associated Press, October 29, 1998.","John Toole and Crissy Taylor, “AG Appeals for Help in Concord Bomb Case,” The Union Leader, October 30, 1998.","David Tirrell-Wysocki, “Authorities: Bomber Threatens more Bombs on Saturday,” The Associated Press, October 30, 1998.","CETIS",-9,-9,0,-9,"199810270004",NA
"223",199810270004,1998,10,27,"",0,"",217,"United States",1,"North America","New Hampshire (U.S. State)","Concord",43.20725,-71.536604,1,0,"","10/27/1998: A pipe bomb was found on the steps outside the New Hampshire State Library in Concord, New Hampshire, U.S.A.. Authorities discovered the device after Governor Jeanne Shaheen's office received a threatening letter. The device did not explode.",1,1,1,0,NA,"",1,0,0,3,"Bombing/Explosion",NA,"",NA,"",2,"Government (General)",21,"Government Building/Facility/Office","New Hampshire State Library","The New Hampshire State Library in Concord, New Hampshire",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Unknown","","","","","","Unknown",0,NA,NA,NA,0,1,1,"Letter",NA,NA,"",NA,NA,"",-9,6,"Explosives/Bombs/Dynamite",17,"Other Explosive Type",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","A pipe bomb was used in the attack.",0,0,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,"","J.M. Hirsch, “Experts say Bombings Probably not Professional,” The Associated Press, October 29, 1998.","John Toole and Crissy Taylor, “AG Appeals for Help in Concord Bomb Case,” The Union Leader, October 30, 1998.","David Tirrell-Wysocki, “Authorities: Bomber Threatens more Bombs on Saturday,” The Associated Press, October 30, 1998.","CETIS",-9,-9,0,-9,"199810270003",NA
"224",199812260003,1998,12,26,"",0,"",217,"United States",1,"North America","Oregon (U.S. State)","Medford",42.32356,-122.875614,1,0,"at the U.S. Forest Industries office at 2611 Whittle Ave in Medford, OR","12/26/1998: In a fax received by The Associated Press, members of the Earth Liberation Front (ELF) claimed responsibility for setting fire to the U.S. Forest Industries headquarters office in Medford, Oregon in the United States, causing about $990,220 in damage.  The arson was caused by an incendiary, composed of two five-gallon buckets filled with a fuel mixture and timing devices, which was placed in front of the building behind some bushes. There were no casualties in the incident.  The communiqué sent to AP and also published in an Internet news release from the Animal Liberation Frontline Information Service, stated that the act was performed as retaliation for the forests and animals lost to ""feed the wallets of greedy"" corporations. The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period.",1,1,1,0,NA,"",0,1,0,7,"Facility/Infrastructure Attack",NA,"",NA,"",2,"Government (General)",21,"Government Building/Facility/Office","U.S. Forest Industries","U.S. Forest Industries headquarters office in Medford, OR",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Earth Liberation Front (ELF)","The Family","","","","","ELF was against logging of private lands, and the incident was in retaliation for the wild forest lands and animals that were lost to feed ""greedy"" people.",0,NA,NA,4,3,1,1,"Letter",NA,NA,"",NA,NA,"",0,8,"Incendiary",20,"Gasoline or Alcohol",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","two five-gallon buckets of diesel/unleaded mix and a one gallon jug with cigarette delays",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",990220,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"The perpetrators had initially placed the incendiary devices at the U.S. Forest Industries building on December 22, but after a few days passed and the group hadn't heard anything about a fire in the news, they went back to check on the devices on December 26, and noticed that they hadn't ignited and much of the fuel had evaporated. Thus, they created a new ignition device from sponges, matches and a cigarette, which proceeded to cause the $990,000 arson.  Ferguson became a government informant and witness in exchange for 2 years probation, Tubbs was sentenced to 12 years and 7 months in prison for his involvement in various arson incidents including this case, Tankersley was sentenced to 3 years and 10 months for her involvement in various arson incidents including this case, and Rubin remained fugitive.","U.S. Government’s Sentencing Memorandum for CR 06-60069, CR 06-60070, CR 06-60071, CR 06-60078, CR 06-60079, CR 06-60080, CR 06-60120, CR 06-60122, CR 06-60123, CR 06-60124, CR06-60125, and CR 06-60126. U.S. District Court: District of Oregon, Eugene, 2007.","""ELF claims responsibility for fire,"" Associated Press State & Local Wire, January 17, 1999.","""Six arrested on federal arson and property destruction indictments,"" States News Service, Portland, Oregon, December 8, 2005.","Eco Project 2010",0,1,0,1,"","eco-terror"
"225",199903130005,1999,3,13,"",0,"",217,"United States",1,"North America","North Carolina (U.S. State)","Asheville",35.59846,-82.553144,1,0,"","03/13/1999: The Femcare Clinic in Asheville, North Carolina, U.S.A., was the target of a suspected bomb attack. The bomb, which failed to fully explode, could have caused significant damage. The abortion clinic was closed at the time of the attack. No one claimed responsibility for this incident.",1,1,1,0,NA,"",0,0,0,3,"Bombing/Explosion",NA,"",NA,"",5,"Abortion Related",40,"Clinics","Femcare Clinic","The Femcare Clinic in Asheville, North Carolina",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Unknown","","","","","","Unknown",0,NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,NA,"",NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",NA,"There was minor damage to the outside of the clinic.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,"","“FBI investigates attack on abortion clinic in North Carolina,” Agence France Presse, March 13, 1999.","“Bomb rattles abortion clinic,” News and Observer, March 14, 1999.","","CETIS",-9,-9,0,-9,"","anti-abortion"
"226",199903160003,1999,3,16,"",0,"",217,"United States",1,"North America","New Mexico (U.S. State)","Albuquerque",35.08418,-106.648639,1,0,"Fire ignited at front and back doors","3/16/1999: Ricky Lee McDonald ignited a fire at the Planned Parenthood of New Mexico clinic in Albuquerque, New Mexico, United States.  There were no casualties, but the abortion clinic sustained $3,000 in damages.",1,1,1,0,NA,"",0,1,0,7,"Facility/Infrastructure Attack",NA,"",NA,"",5,"Abortion Related",40,"Clinics","Planned Parenthood","Planned Parenthood of New Mexico",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Anti-Abortion Activists","","","","","","To protest the practice of abortion and to sabotage abortion facilities operating in Wisconsin.",0,NA,NA,1,1,0,NA,"",NA,NA,"",NA,NA,"",NA,8,"Incendiary",20,"Gasoline or Alcohol",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",3000,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"Six weeks later, Ricky Lee McDonald ignited a fire at the same abortion clinic (199905010004).","Chaka Ferguson, ""Police Arrest Man in Abortion Clinic Fire,"" Associated Press, May 3, 1999.","""Police Arrest Man in Abortion Clinic Fire,"" Associated Press, May 4, 1999.","""Man Held in Abortion Clinic Fire Investigated in Other Incidents.  No One Hurt in NM Attack; Federal Agents Launch Inquiry,"" Dallas Morning News, May 2, 1999.","Anti-Abortion Project 2010",-9,-9,0,-9,"","anti-abortion"
"227",199903200009,1999,3,19,"",0,"",217,"United States",1,"North America","New Mexico (U.S. State)","Santa Fe",35.691543,-105.937406,1,0,"","03/19/1999: A pipe bomb was left in the mailbox of the Forest Guardians, an environmentalist group, in Santa Fe, New Mexico, U.S.A.. The pipe bomb was 10 inches long, had a cigarette fuse and was disarmed by the bomb squad. The Forest Guardians had been threatened previously for their pro-environment agenda. The perpetrators were unknown.",1,1,1,0,NA,"",0,0,0,3,"Bombing/Explosion",NA,"",NA,"",12,"NGO",61,"Domestic NGO","The Forest Guardians","The Forest Guardians office in Santa Fe, New Mexico",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Individual","","","","","","Unknown",0,NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,NA,"",NA,6,"Explosives/Bombs/Dynamite",14,"Time Fuse",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","The device was a pipe bomb about 10 inches long with a cigarette fuse.",0,0,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,"","“Police Explode Pipe Bomb,” Albuquerque Journal, March 20, 1999.","","","CETIS",-9,-9,0,-9,"","right-wing"
"228",199903260005,1999,3,26,"",0,"",217,"United States",1,"North America","District of Columbia","Washington",38.89037,-77.031959,1,0,"","3/26/1999: Frank Darwin Alexander sent a mail bomb to the White House addressed to Bill Clinton.  The device detonated in inside a truck trailer at the Washington D.C., United States bulk mail center.  There were no casualties but three containers of mail were damaged.",1,1,1,1,2,"Other Crime Type",0,1,0,3,"Bombing/Explosion",NA,"",NA,"",2,"Government (General)",17,"Head of State","President of United States","Bill Clinton",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Individual","","","","","","Alexander's motive was unclear, however he stated that he admired Oklahoma City bomber Timothy McVeigh and Theodore Kaczynski the Unabomber.",0,NA,NA,1,1,1,2,"Call (post-incident)",NA,NA,"",NA,NA,"",NA,6,"Explosives/Bombs/Dynamite",9,"Letter Bomb",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Pipe bomb sent in a package",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",NA,"Three containers of mail were burnt",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"Two days after the bomb detonated, Frank Darwin Alexander called the Southern Nevada Mental Health Institute stating that he sent the device.  Anderson also sent mail bombs to John Hagee and the Las Vegas ATF office (199903280009 and 199903290005).","Robert Macy, ""Former Morgan City Resident Admits Sending Bombs to Clinton, Texas Evangelist,"" Associated Press, September 18, 1999.","Robbery Macy. ""Man Linked to Dallas Bombing Charged With Bomb Threat on ATF,"" Associated Press, April 1, 1999.","Angela Simoneaux, ""Man Admits Sending White House Bomb, Explosive Device One of Two Originated in Morgan City,"" State-Times/Morning Advocate, September 18, 1999.","Hewitt Project",-9,-9,0,-9,"",NA
"229",199903270006,1999,3,27,"",0,"",217,"United States",1,"North America","New Jersey (U.S. State)","Franklin Township",40.493889,-74.516944,1,0,"at the Big Apple Circus in Colonial Park in Franklin Township, NJ","03/27/1999: Two tractor-trailer trucks of the Big Apple Circus were destroyed, and a flatbed truck sustained damage in a firebombing targeting the circus being held at Colonial Park in Franklin Township in Somerset County, New Jersey, United States.  An additional incendiary device, which had failed to function, was discovered in the cab of a backhoe that was parked behind the destroyed vehicles.  In a statement sent to The Record, the Animal Liberation Front (ALF) claimed responsibility for using gallon containers filled with gasoline and topped with candles to set fire to the trucks, claiming they targeted the circus ""to draw attention to""enslaved""and""exploited"" performers.""  There were no casualties, nor injuries to animals in the incident.  The property damage was estimated at $70,000.",1,1,1,0,NA,"",0,1,0,7,"Facility/Infrastructure Attack",NA,"",NA,"",1,"Business",11,"Entertainment/Cultural/Stadium/Casino","Big Apple Circus","circus vehicles belonging to Big Apple Circus, on tour at the Colonial Park in Franklin Township, NJ",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Animal Liberation Front (ALF)","","","","","","To draw attention to the animals, which the group believed were ""enslaved"" and ""exploited"" performers",0,NA,NA,-99,-99,1,1,"Letter",NA,NA,"",NA,NA,"",NA,8,"Incendiary",20,"Gasoline or Alcohol",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","gallon containers filled with gasoline and topped with candles",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",70000,"two trucks destroyed and another vehicle damaged",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"","FBI, ""Terrorism in the United States: 1999,"" Counterterrosism Threat Assessment and Warning Unit, Counterterrorism Division, FBI, DOJ, 1999.","Elise Young, ""Animal-Rights Group says it Burned Circus Trucks,"" The Record, Bergen County, NJ, April 1, 1999.","","Eco Project 2010",0,1,0,1,"","eco-terror"
"230",199903280009,1999,3,28,"",0,"",217,"United States",1,"North America","Texas (U.S. State)","San Antonio",29.42449,-98.494624,1,0,"","3/28/1999: Frank Darwin Alexander sent a mail bomb addressed to John Hagee, a preacher with Cornerstone Ministries, in San Antonio.  The device detonated at the Dallas, Texas, United States bulk mail center.  There were no casualties but machinery and equipment at the facility were slightly damaged.",1,1,1,1,2,"Other Crime Type",0,1,0,3,"Bombing/Explosion",NA,"",NA,"",15,"Religious Figures/Institutions",85,"Religious Figure","Christian Evangelist","John Hagee",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Individual","","","","","","Alexander's motive was unclear, however he stated that he admired Oklahoma City bomber Timothy McVeigh and Theodore Kaczynski the Unabomber.",0,NA,NA,1,1,1,3,"Call (pre-incident)",NA,NA,"",NA,NA,"",NA,6,"Explosives/Bombs/Dynamite",9,"Letter Bomb",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Pipe bomb sent in a package",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",NA,"Mail equipment and machinery slightly damaged",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"On the same that the bomb detonated, Frank Darwin Alexander called the Southern Nevada Mental Health Institute stating that he sent the device.  Anderson also sent mail bombs to the White house and the Las Vegas ATF office (199903260005 and 199903290005).","Robert Macy, ""Former Morgan City Resident Admits Sending Bombs to Clinton, Texas Evangelist,"" Associated Press, September 18, 1999.","Robbery Macy. ""Man Linked to Dallas Bombing Charged With Bomb Threat on ATF,"" Associated Press, April 1, 1999.","Angela Simoneaux, ""Man Admits Sending White House Bomb, Explosive Device One of Two Originated in Morgan City,"" State-Times/Morning Advocate, September 18, 1999.","Hewitt Project",-9,-9,0,-9,"",NA
"231",199903280010,1999,3,28,"",0,"",217,"United States",1,"North America","Wisconsin (U.S. State)","Milwaukee",43.04181,-87.906844,1,0,"Fire ignited at the rear door of the facility","3/28/1999: Peter Quinn ignited a fire at the Summit Women's Health Organization in Milwaukee, Wisconsin, United States.  The clinic sustained minor damages.  There were no casualties.",1,1,1,0,NA,"",0,1,0,7,"Facility/Infrastructure Attack",NA,"",NA,"",5,"Abortion Related",40,"Clinics","","Summit Women's Health Organization",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Anti-Abortion Activists","","","","","","To protest the practice of abortion and to sabotage abortion facilities operating in Wisconsin.",0,NA,NA,1,1,0,NA,"",NA,NA,"",NA,NA,"",NA,8,"Incendiary",20,"Gasoline or Alcohol",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Accelerant used to ignite fire",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",NA,"Rear wooden door damaged",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"The fire was ignited between 2:00 AM and 3:00 AM.  Three days later, Peter Quinn set a fire at a Planned Parenthood clinic in nearby Waukesha, Wisconsin (199903310007).","""A Teen-Ager Who Faces Charges of Arson and Vandalism In…,"" Associated Press, May 11, 1999.","""Teen Won't Go To Trial in Clinic Arson Cases,"" Milwaukee Journal Sentinel, February 11, 2000.","Clinic Security Department, ""1999 Chronicle of Clinic Violence & Harassment,"" Planned Parenthood Federation of America, Inc.","Anti-Abortion Project 2010",-9,-9,0,-9,"","anti-abortion"
"232",199903290005,1999,3,29,"",0,"",217,"United States",1,"North America","Nevada (U.S. State)","Las Vegas",36.171915,-115.139974,1,0,"","3/29/1999: Frank Darwin Alexander sent a mail bomb addressed to the Bureau of Alcohol, Tobacco and Firearms office in Las Vegas, Nevada, United States.  Alexander notified authorities that the bomb was located at the Las Vegas Greyhound bus station and the device was subsequently removed.",1,1,1,1,2,"Other Crime Type",0,0,0,3,"Bombing/Explosion",NA,"",NA,"",2,"Government (General)",18,"Government Personnel (excluding police, military)","Bureau of Alcohol, Tobacco and Firearms","Bureau of Alcohol, Tobacco and Firearms office in Las Vegas Nevada",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Individual","","","","","","Alexander's motive was unclear, however he stated that he admired Oklahoma City bomber Timothy McVeigh and Theodore Kaczynski the Unabomber.",0,NA,NA,1,1,1,3,"Call (pre-incident)",NA,NA,"",NA,NA,"",NA,6,"Explosives/Bombs/Dynamite",9,"Letter Bomb",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Pipe bomb sent in a package",0,0,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"Frank Darwin Alexander confessed to the to the Las Vegas ATF office that he sent a mail bomb to the facility. He told the police that the bomb was located at the Las Vegas Greyhound bus station where the device was left to  be mailed.  Anderson also sent mail bombs to the White House and John Hagee (199903260005 and 199903280009).","Robert Macy, ""Former Morgan City Resident Admits Sending Bombs to Clinton, Texas Evangelist,"" Associated Press, September 18, 1999.","Robbery Macy. ""Man Linked to Dallas Bombing Charged With Bomb Threat on ATF,"" Associated Press, April 1, 1999.","Angela Simoneaux, ""Man Admits Sending White House Bomb, Explosive Device One of Two Originated in Morgan City,"" State-Times/Morning Advocate, September 18, 1999.","Hewitt Project",-9,-9,0,-9,"",NA
"233",199903290006,1999,3,29,"",0,"",217,"United States",1,"North America","Idaho (U.S. State)","Sioux Falls",43.549975,-96.700327,1,0,"Bush in front of clinic","3/29/1999: Martin Uphoff set a bush on fire that was located in front of the Planned Parenthood of Sioux Fall, South Dakota, United States.  The fire did not spread to the abortion clinic but caused $100 in damages to the bush.",1,1,1,0,NA,"",0,1,0,7,"Facility/Infrastructure Attack",NA,"",NA,"",5,"Abortion Related",40,"Clinics","Planned Parenthood","Planned Parenthood clinic in Sioux Falls, South Dakota",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Anti-Abortion Activists","","","","","","To protest the practice of abortion and to sabotage abortion facilities operating in South Dakota.",0,NA,NA,1,1,0,NA,"",NA,NA,"",NA,NA,"",NA,8,"Incendiary",20,"Gasoline or Alcohol",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Gasoline poured on bush and ignited on fire",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",100,"Bush damaged",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"The attack took place early in the morning.  Authorities were able to use surveillance videos to identify Uphoff as the perpetrator.","""Man Who Tried to Flea Arrest Denies Setting Fire at Abortion Clinic,"" Associated Press, April 7, 1999.","""Man Who Set Fire at Abortion Clinic Faces 21-Year Prison Term,"" Associated Press, October 7, 1999.","Clinic Security Department, ""1999 Chronicle of Clinic Violence & Harassment,"" Planned Parenthood Federation of America, Inc.","Anti-Abortion Project 2010",-9,-9,0,-9,"","anti-abortion"
"234",199903310007,1999,3,31,"",0,"",217,"United States",1,"North America","Wisconsin (U.S. State)","Waukesha",43.014423,-88.235513,1,0,"Fire ignited near window","3/31/1999: Peter Quinn broke into the Planned Parenthood clinic in Waukesha, Wisconsin, United States, through a window and ignited a fire.  There were no casualties, but the fire caused $400 in damages to the health care facility.",1,1,1,0,NA,"",0,1,0,7,"Facility/Infrastructure Attack",2,"Armed Assault",NA,"",5,"Abortion Related",40,"Clinics","Planned Parenthood","Planned Parenthood clinic in Waukesha, Wisconsin",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Anti-Abortion Activists","","","","","","To protest the practice of abortion and to sabotage abortion facilities operating in Wisconsin.",0,NA,NA,1,1,0,NA,"",NA,NA,"",NA,NA,"",NA,8,"Incendiary",20,"Gasoline or Alcohol",9,"Melee",21,"Blunt Object",NA,"",NA,"",NA,"",NA,"","Perpetrator broke through window with a baseball bat and poured liquid fluid on a fireplace log and lit it on fire",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",400,"Window shattered and the area around the window was damaged by fire.",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"The Planned Parenthood clinic did not perform abortions.  Peter Quinn broke into the building at 12:05 am.  Firefighters. were able to respond quickly because Quinn set off the building's alarm system.  Three days earlier, Quinn ignited a fire at an abortion clinic in nearby Milwaukee (199903280010).","""Investigators Probe Attempted Arson at Planned Parenthood Clinic,"" Associated Press, April 1, 1999.","""A Teen-Ager Who Faces Charges of Arson and Vandalism In…,"" Associated Press, May 11, 1999.","""Teen Won't Go To Trial in Clinic Arson Cases,"" Milwaukee Journal Sentinel, February 11, 2000.","Anti-Abortion Project 2010",-9,-9,0,-9,"","anti-abortion"
"235",199904100005,1999,4,10,"",0,"",217,"United States",1,"North America","Colorado (U.S. State)","Colorado Springs",38.83345,-104.821814,1,0,"1259 Lake Plaza Drive","4/10/1999: Unknown perpetrators set fire to the Internal Revenue Service Building in Colorado Springs, Colorado, United States.  The buildings sustained heavy damages and one firefighter was injured fighting the blaze.",1,1,1,0,NA,"",0,1,0,7,"Facility/Infrastructure Attack",NA,"",NA,"",2,"Government (General)",21,"Government Building/Facility/Office","Internal Revenue Service","Internal Revenue Service Office, Colorado Springs",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Anti-Government Group","","","","","","To protest the IRS and the taxation system of the United States government",0,NA,NA,-99,-99,0,NA,"",NA,NA,"",NA,NA,"",NA,8,"Incendiary",20,"Gasoline or Alcohol",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Accelerant made out of oil or gasoline",0,0,0,1,1,0,1,3,"Minor (likely < $1 million)",NA,"Building sustained heavy damage",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"Two years earlier, there was another case of arson at the IRS building in Colorado Springs (199705030009).  The letters ""AAR"" or ""ARA"" were spray-painted on to door of the building, however authorities did not know what these initials stood for.  This incident took place six days before taxes were due to be filed.","""Arsonist Blamed in IRS Office Fire ATF Investigators Have No Suspects,"" Denver Post, April 11, 1999.","""Arson Damages IRS Office In Colorado Springs Again,"" Associated Press, April 11, 1999.","""Agency Opens In Temporary Quarters After Arson Fire,"" Associated Press, April 12, 1999.","Hewitt Project",-9,-9,0,-9,"",NA
"236",199904200004,1999,4,20,"",0,"",217,"United States",1,"North America","Colorado (U.S. State)","Littleton",39.616905,-105.014519,1,0,"Near Littleton in unincorporated Jefferson County","04/20/1999: Two armed high school students opened fire in Columbine High School, killing 12 students and one teacher, and wounding 24 before committing suicide. The school is located in Littleton, Colorado, U.S.A.",0,1,1,1,2,"Other Crime Type",0,1,1,2,"Armed Assault",NA,"",NA,"",8,"Educational Institution",48,"Teacher/Professor/Instructor","Civilians","Students and teachers at Columbine High School.",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Individual","","","","","","Unknown",0,NA,NA,2,0,0,NA,"",NA,NA,"",NA,NA,"",NA,5,"Firearms",3,"Handgun",5,"Firearms",4,"Rifle/Shotgun (non-automatic)",6,"Explosives/Bombs/Dynamite",17,"Other Explosive Type",NA,"",NA,"","The two perpetrators each had numerous guns, Molotov cocktails, knives, pipe bombs, and other types of explosive devices.",15,15,2,24,24,0,1,4,"Unknown",NA,"Damage was done to the school buildings from small explosives and gun shots.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,"","Robert Weller, “25 May Be Dead in School Shooting,” The Associated Press, April 21, 1999.","“Up to 25 die in shooting at Colorado high school; Sheriff says 2 gunmen on 'suicide mission',” Fort Worth Star-Telegram, April 21, 1999.","Ted Taylor, Chris Barker, Cox News Service, “COLORADO SCHOOL MASSACRE; Deadly suicide attack shatters Colorado school, stuns nation,” The Atlanta Journal and Constitution, April 21, 1999.","CETIS",-9,-9,0,-9,"",NA
